id,origin,destination,airline,flightNumber,duration,price,departureTime
1,VIE,LHR,Austrian,OS451,135,189.99,06:45
2,LHR,CDG,British Airways,BA304,80,95.00,09:10
3,CDG,JFK,Air France,AF006,510,640.00,10:30
4,VIE,FRA,Lufthansa,LH1245,85,120.00,07:30
5,FRA,AMS,Lufthansa,LH998,70,110.00,09:00
6,AMS,BCN,KLM,KL1673,150,160.00,10:45
7,BCN,MAD,Iberia,IB2711,75,80.00,12:15
8,MAD,LIS,Iberia,IB310,65,70.00,14:40
9,LIS,FCO,TAP,TP842,180,200.00,09:15
10,FCO,ATH,ITA Airways,AZ722,105,130.00,13:10
11,ATH,IST,Turkish Airlines,TK1846,95,115.00,15:35
12,IST,DOH,Turkish Airlines,TK783,250,380.00,23:00
13,DOH,DXB,Qatar Airways,QR1016,65,90.00,01:20
14,DXB,SIN,Emirates,EK354,435,520.00,03:15
15,SIN,HND,ANA,NH842,420,560.00,08:10
16,HND,HKG,Japan Airlines,JL029,240,310.00,13:25
17,HKG,FRA,Lufthansa,LH797,720,780.00,22:40
18,FRA,JFK,Lufthansa,LH400,520,650.00,10:15
19,JFK,LAX,Delta,DL445,365,330.00,07:50
20,LAX,VIE,Austrian,OS82,690,880.00,16:10
21,VIE,ZRH,Swiss,LX1575,90,140.00,11:20
22,ZRH,BRU,Swiss,LX784,85,110.00,14:00
23,BRU,AMS,KLM,KL1724,50,90.00,15:20
24,AMS,LHR,KLM,KL1007,75,105.00,08:35
25,FRA,CPH,Lufthansa,LH830,85,120.00,06:50
26,CPH,ARN,SAS,SK1412,70,95.00,09:30
27,ARN,HEL,Finnair,AY654,55,85.00,12:00
28,HEL,OSL,Finnair,AY815,95,100.00,13:45
29,OSL,FRA,Lufthansa,LH867,120,130.00,16:00
30,FCO,CDG,ITA Airways,AZ320,110,150.00,10:20
31,CDG,LIS,Air France,AF1024,160,180.00,07:45
32,LIS,BCN,TAP,TP103,110,120.00,13:40
33,BCN,FRA,Lufthansa,LH1133,140,200.00,08:55
34,LHR,DOH,Qatar Airways,QR12,395,490.00,21:00
35,DOH,HND,Qatar Airways,QR806,590,720.00,02:30
36,HND,SIN,ANA,NH843,410,560.00,10:00
37,SIN,DUB,Emirates,EK3722,760,820.00,01:15
38,DUB,LHR,British Airways,BA829,90,110.00,09:25
39,JFK,CDG,Delta,DL402,495,680.00,17:40
40,FRA,ATH,Lufthansa,LH1282,150,200.00,12:20
41,ATH,VIE,Austrian,OS808,110,130.00,15:15
42,LAX,HND,ANA,NH105,660,950.00,11:10
43,HKG,SIN,Singapore Airlines,SQ865,240,310.00,18:20
44,SIN,DXB,Emirates,EK355,440,530.00,22:50
45,DXB,FRA,Emirates,EK43,420,600.00,07:10
46,VIE,BCN,Austrian,OS391,150,170.00,06:25
47,BCN,LHR,British Airways,BA475,145,190.00,08:50
48,LHR,JFK,British Airways,BA117,465,640.00,13:00
49,JFK,VIE,Austrian,OS88,585,710.00,17:20
50,LAX,FRA,Lufthansa,LH457,670,900.00,15:45
